adhesivity_throughput_100,particle_size,weight_coefficient
0.36,0.04,3.0
0.37,0.04,3.0
0.38,0.04,3.0
0.39,0.04,3.0
0.4,0.04,3.0
0.41,0.04,3.0
0.42,0.04,3.0
0.43,0.04,3.0
0.44,0.04,3.0
0.45,0.04,3.0
0.13,0.06,3.0
0.14,0.06,3.0
0.15,0.06,3.0
0.16,0.06,3.0
0.17,0.06,3.0
0.18,0.06,3.0
0.19,0.06,3.0
0.2,0.06,3.0
0.21,0.06,3.0
0.22,0.06,3.0
0.23,0.06,3.0
0.24,0.06,3.0
0.25,0.06,3.0
0.26,0.06,3.0
0.27,0.06,3.0
0.08,0.08,3.0
0.09,0.08,3.0
0.1,0.08,3.0
0.11,0.08,3.0
0.12,0.08,3.0
0.13,0.08,3.0
0.14,0.08,3.0
0.15,0.08,3.0
0.16,0.08,3.0
0.17,0.08,3.0
0.18,0.08,3.0
0.07,0.1,3.0
0.08,0.1,3.0
0.09,0.1,3.0
0.1,0.1,3.0
0.11,0.1,3.0
0.12,0.1,3.0
0.13,0.1,3.0
0.14,0.1,3.0
0.76,0.02,3.05
0.77,0.02,3.05
0.78,0.02,3.05
0.79,0.02,3.05
0.8,0.02,3.05
0.81,0.02,3.05
0.82,0.02,3.05
0.83,0.02,3.05
0.84,0.02,3.05
0.85,0.02,3.05
0.86,0.02,3.05
0.87,0.02,3.05
0.88,0.02,3.05
0.89,0.02,3.05
0.9,0.02,3.05
0.91,0.02,3.05
0.92,0.02,3.05
0.93,0.02,3.05
0.94,0.02,3.05
0.95,0.02,3.05
0.96,0.02,3.05
0.97,0.02,3.05
0.98,0.02,3.05
0.99,0.02,3.05
1.0,0.02,3.05
0.22,0.04,3.05
0.23,0.04,3.05
0.24,0.04,3.05
0.25,0.04,3.05
0.26,0.04,3.05
0.27,0.04,3.05
0.28,0.04,3.05
0.29,0.04,3.05
0.3,0.04,3.05
0.31,0.04,3.05
0.32,0.04,3.05
0.33,0.04,3.05
0.34,0.04,3.05
0.35,0.04,3.05
0.36,0.04,3.05
0.37,0.04,3.05
0.38,0.04,3.05
0.39,0.04,3.05
0.4,0.04,3.05
0.41,0.04,3.05
0.42,0.04,3.05
0.43,0.04,3.05
0.44,0.04,3.05
0.13,0.06,3.05
0.14,0.06,3.05
0.15,0.06,3.05
0.16,0.06,3.05
0.17,0.06,3.05
0.18,0.06,3.05
0.19,0.06,3.05
0.2,0.06,3.05
0.21,0.06,3.05
0.22,0.06,3.05
0.23,0.06,3.05
0.24,0.06,3.05
0.25,0.06,3.05
0.26,0.06,3.05
0.27,0.06,3.05
0.08,0.08,3.05
0.09,0.08,3.05
0.1,0.08,3.05
0.11,0.08,3.05
0.12,0.08,3.05
0.13,0.08,3.05
0.14,0.08,3.05
0.15,0.08,3.05
0.16,0.08,3.05
0.17,0.08,3.05
0.18,0.08,3.05
0.06,0.1,3.05
0.07,0.1,3.05
0.08,0.1,3.05
0.09,0.1,3.05
0.1,0.1,3.05
0.11,0.1,3.05
0.12,0.1,3.05
0.13,0.1,3.05
0.76,0.02,3.1
0.77,0.02,3.1
0.78,0.02,3.1
0.79,0.02,3.1
0.8,0.02,3.1
0.81,0.02,3.1
0.82,0.02,3.1
0.83,0.02,3.1
0.84,0.02,3.1
0.85,0.02,3.1
0.86,0.02,3.1
0.87,0.02,3.1
0.88,0.02,3.1
0.89,0.02,3.1
0.9,0.02,3.1
0.91,0.02,3.1
0.92,0.02,3.1
0.93,0.02,3.1
0.94,0.02,3.1
0.95,0.02,3.1
0.96,0.02,3.1
0.97,0.02,3.1
0.98,0.02,3.1
0.99,0.02,3.1
1.0,0.02,3.1
0.22,0.04,3.1
0.23,0.04,3.1
0.24,0.04,3.1
0.25,0.04,3.1
0.26,0.04,3.1
0.27,0.04,3.1
0.28,0.04,3.1
0.29,0.04,3.1
0.3,0.04,3.1
0.31,0.04,3.1
0.32,0.04,3.1
0.33,0.04,3.1
0.34,0.04,3.1
0.35,0.04,3.1
0.36,0.04,3.1
0.37,0.04,3.1
0.38,0.04,3.1
0.39,0.04,3.1
0.4,0.04,3.1
0.41,0.04,3.1
0.42,0.04,3.1
0.43,0.04,3.1
0.44,0.04,3.1
0.12,0.06,3.1
0.13,0.06,3.1
0.14,0.06,3.1
0.15,0.06,3.1
0.16,0.06,3.1
0.17,0.06,3.1
0.18,0.06,3.1
0.19,0.06,3.1
0.2,0.06,3.1
0.21,0.06,3.1
0.22,0.06,3.1
0.23,0.06,3.1
0.24,0.06,3.1
0.25,0.06,3.1
0.26,0.06,3.1
0.08,0.08,3.1
0.09,0.08,3.1
0.1,0.08,3.1
0.11,0.08,3.1
0.12,0.08,3.1
0.13,0.08,3.1
0.14,0.08,3.1
0.15,0.08,3.1
0.16,0.08,3.1
0.17,0.08,3.1
0.18,0.08,3.1
0.06,0.1,3.1
0.07,0.1,3.1
0.08,0.1,3.1
0.09,0.1,3.1
0.1,0.1,3.1
0.11,0.1,3.1
0.12,0.1,3.1
0.13,0.1,3.1
0.76,0.02,3.15
0.77,0.02,3.15
0.78,0.02,3.15
0.79,0.02,3.15
0.8,0.02,3.15
0.81,0.02,3.15
0.82,0.02,3.15
0.83,0.02,3.15
0.84,0.02,3.15
0.85,0.02,3.15
0.86,0.02,3.15
0.87,0.02,3.15
0.88,0.02,3.15
0.89,0.02,3.15
0.9,0.02,3.15
0.91,0.02,3.15
0.92,0.02,3.15
0.93,0.02,3.15
0.94,0.02,3.15
0.95,0.02,3.15
0.96,0.02,3.15
0.97,0.02,3.15
0.98,0.02,3.15
0.99,0.02,3.15
1.0,0.02,3.15
0.21,0.04,3.15
0.22,0.04,3.15
0.23,0.04,3.15
0.24,0.04,3.15
0.25,0.04,3.15
0.26,0.04,3.15
0.27,0.04,3.15
0.28,0.04,3.15
0.29,0.04,3.15
0.3,0.04,3.15
0.31,0.04,3.15
0.32,0.04,3.15
0.33,0.04,3.15
0.34,0.04,3.15
0.35,0.04,3.15
0.36,0.04,3.15
0.37,0.04,3.15
0.38,0.04,3.15
0.39,0.04,3.15
0.4,0.04,3.15
0.41,0.04,3.15
0.42,0.04,3.15
0.43,0.04,3.15
0.12,0.06,3.15
0.13,0.06,3.15
0.14,0.06,3.15
0.15,0.06,3.15
0.16,0.06,3.15
0.17,0.06,3.15
0.18,0.06,3.15
0.19,0.06,3.15
0.2,0.06,3.15
0.21,0.06,3.15
0.22,0.06,3.15
0.23,0.06,3.15
0.24,0.06,3.15
0.25,0.06,3.15
0.26,0.06,3.15
0.08,0.08,3.15
0.09,0.08,3.15
0.1,0.08,3.15
0.11,0.08,3.15
0.12,0.08,3.15
0.13,0.08,3.15
0.14,0.08,3.15
0.15,0.08,3.15
0.16,0.08,3.15
0.17,0.08,3.15
0.18,0.08,3.15
0.06,0.1,3.15
0.07,0.1,3.15
0.08,0.1,3.15
0.09,0.1,3.15
0.1,0.1,3.15
0.11,0.1,3.15
0.12,0.1,3.15
0.13,0.1,3.15
0.76,0.02,3.2
0.77,0.02,3.2
0.78,0.02,3.2
0.79,0.02,3.2
0.8,0.02,3.2
0.81,0.02,3.2
0.82,0.02,3.2
0.83,0.02,3.2
0.84,0.02,3.2
0.85,0.02,3.2
0.86,0.02,3.2
0.87,0.02,3.2
0.88,0.02,3.2
0.89,0.02,3.2
0.9,0.02,3.2
0.91,0.02,3.2
0.92,0.02,3.2
0.93,0.02,3.2
0.94,0.02,3.2
0.95,0.02,3.2
0.96,0.02,3.2
0.97,0.02,3.2
0.98,0.02,3.2
0.99,0.02,3.2
1.0,0.02,3.2
0.21,0.04,3.2
0.22,0.04,3.2
0.23,0.04,3.2
0.24,0.04,3.2
0.25,0.04,3.2
0.26,0.04,3.2
0.27,0.04,3.2
0.28,0.04,3.2
0.29,0.04,3.2
0.3,0.04,3.2
0.31,0.04,3.2
0.32,0.04,3.2
0.33,0.04,3.2
0.34,0.04,3.2
0.35,0.04,3.2
0.36,0.04,3.2
0.37,0.04,3.2
0.38,0.04,3.2
0.39,0.04,3.2
0.4,0.04,3.2
0.41,0.04,3.2
0.42,0.04,3.2
0.43,0.04,3.2
0.12,0.06,3.2
0.13,0.06,3.2
0.14,0.06,3.2
0.15,0.06,3.2
0.16,0.06,3.2
0.17,0.06,3.2
0.18,0.06,3.2
0.19,0.06,3.2
0.2,0.06,3.2
0.21,0.06,3.2
0.22,0.06,3.2
0.23,0.06,3.2
0.24,0.06,3.2
0.25,0.06,3.2
0.26,0.06,3.2
0.08,0.08,3.2
0.09,0.08,3.2
0.1,0.08,3.2
0.11,0.08,3.2
0.12,0.08,3.2
0.13,0.08,3.2
0.14,0.08,3.2
0.15,0.08,3.2
0.16,0.08,3.2
0.17,0.08,3.2
0.18,0.08,3.2
0.06,0.1,3.2
0.07,0.1,3.2
0.08,0.1,3.2
0.09,0.1,3.2
0.1,0.1,3.2
0.11,0.1,3.2
0.12,0.1,3.2
0.13,0.1,3.2
0.76,0.02,3.25
0.77,0.02,3.25
0.78,0.02,3.25
0.79,0.02,3.25
0.8,0.02,3.25
0.81,0.02,3.25
0.82,0.02,3.25
0.83,0.02,3.25
0.84,0.02,3.25
0.85,0.02,3.25
0.86,0.02,3.25
0.87,0.02,3.25
0.88,0.02,3.25
0.89,0.02,3.25
0.9,0.02,3.25
0.91,0.02,3.25
0.92,0.02,3.25
0.93,0.02,3.25
0.94,0.02,3.25
0.95,0.02,3.25
0.96,0.02,3.25
0.97,0.02,3.25
0.98,0.02,3.25
0.99,0.02,3.25
1.0,0.02,3.25
0.2,0.04,3.25
0.21,0.04,3.25
0.22,0.04,3.25
0.23,0.04,3.25
0.24,0.04,3.25
0.25,0.04,3.25
0.26,0.04,3.25
0.27,0.04,3.25
0.28,0.04,3.25
0.29,0.04,3.25
0.3,0.04,3.25
0.31,0.04,3.25
0.32,0.04,3.25
0.33,0.04,3.25
0.34,0.04,3.25
0.35,0.04,3.25
0.36,0.04,3.25
0.37,0.04,3.25
0.38,0.04,3.25
0.39,0.04,3.25
0.4,0.04,3.25
0.41,0.04,3.25
0.42,0.04,3.25
0.11,0.06,3.25
0.12,0.06,3.25
0.13,0.06,3.25
0.14,0.06,3.25
0.15,0.06,3.25
0.16,0.06,3.25
0.17,0.06,3.25
0.18,0.06,3.25
0.19,0.06,3.25
0.2,0.06,3.25
0.21,0.06,3.25
0.22,0.06,3.25
0.23,0.06,3.25
0.24,0.06,3.25
0.25,0.06,3.25
0.07,0.08,3.25
0.08,0.08,3.25
0.09,0.08,3.25
0.1,0.08,3.25
0.11,0.08,3.25
0.12,0.08,3.25
0.13,0.08,3.25
0.14,0.08,3.25
0.15,0.08,3.25
0.16,0.08,3.25
0.17,0.08,3.25
0.06,0.1,3.25
0.07,0.1,3.25
0.08,0.1,3.25
0.09,0.1,3.25
0.1,0.1,3.25
0.11,0.1,3.25
0.12,0.1,3.25
0.13,0.1,3.25
0.76,0.02,3.3
0.77,0.02,3.3
0.78,0.02,3.3
0.79,0.02,3.3
0.8,0.02,3.3
0.81,0.02,3.3
0.82,0.02,3.3
0.83,0.02,3.3
0.84,0.02,3.3
0.85,0.02,3.3
0.86,0.02,3.3
0.87,0.02,3.3
0.88,0.02,3.3
0.89,0.02,3.3
0.9,0.02,3.3
0.91,0.02,3.3
0.92,0.02,3.3
0.93,0.02,3.3
0.94,0.02,3.3
0.95,0.02,3.3
0.96,0.02,3.3
0.97,0.02,3.3
0.98,0.02,3.3
0.99,0.02,3.3
1.0,0.02,3.3
0.19,0.04,3.3
0.2,0.04,3.3
0.21,0.04,3.3
0.22,0.04,3.3
0.23,0.04,3.3
0.24,0.04,3.3
0.25,0.04,3.3
0.26,0.04,3.3
0.27,0.04,3.3
0.28,0.04,3.3
0.29,0.04,3.3
0.3,0.04,3.3
0.31,0.04,3.3
0.32,0.04,3.3
0.33,0.04,3.3
0.34,0.04,3.3
0.35,0.04,3.3
0.36,0.04,3.3
0.37,0.04,3.3
0.38,0.04,3.3
0.39,0.04,3.3
0.4,0.04,3.3
0.41,0.04,3.3
0.11,0.06,3.3
0.12,0.06,3.3
0.13,0.06,3.3
0.14,0.06,3.3
0.15,0.06,3.3
0.16,0.06,3.3
0.17,0.06,3.3
0.18,0.06,3.3
0.19,0.06,3.3
0.2,0.06,3.3
0.21,0.06,3.3
0.22,0.06,3.3
0.23,0.06,3.3
0.24,0.06,3.3
0.25,0.06,3.3
0.07,0.08,3.3
0.08,0.08,3.3
0.09,0.08,3.3
0.1,0.08,3.3
0.11,0.08,3.3
0.12,0.08,3.3
0.13,0.08,3.3
0.14,0.08,3.3
0.15,0.08,3.3
0.16,0.08,3.3
0.17,0.08,3.3
0.06,0.1,3.3
0.07,0.1,3.3
0.08,0.1,3.3
0.09,0.1,3.3
0.1,0.1,3.3
0.11,0.1,3.3
0.12,0.1,3.3
0.13,0.1,3.3
0.76,0.02,3.35
0.77,0.02,3.35
0.78,0.02,3.35
0.79,0.02,3.35
0.8,0.02,3.35
0.81,0.02,3.35
0.82,0.02,3.35
0.83,0.02,3.35
0.84,0.02,3.35
0.85,0.02,3.35
0.86,0.02,3.35
0.87,0.02,3.35
0.88,0.02,3.35
0.89,0.02,3.35
0.9,0.02,3.35
0.91,0.02,3.35
0.92,0.02,3.35
0.93,0.02,3.35
0.94,0.02,3.35
0.95,0.02,3.35
0.96,0.02,3.35
0.97,0.02,3.35
0.98,0.02,3.35
0.99,0.02,3.35
1.0,0.02,3.35
0.19,0.04,3.35
0.2,0.04,3.35
0.21,0.04,3.35
0.22,0.04,3.35
0.23,0.04,3.35
0.24,0.04,3.35
0.25,0.04,3.35
0.26,0.04,3.35
0.27,0.04,3.35
0.28,0.04,3.35
0.29,0.04,3.35
0.3,0.04,3.35
0.31,0.04,3.35
0.32,0.04,3.35
0.33,0.04,3.35
0.34,0.04,3.35
0.35,0.04,3.35
0.36,0.04,3.35
0.37,0.04,3.35
0.38,0.04,3.35
0.39,0.04,3.35
0.4,0.04,3.35
0.41,0.04,3.35
0.11,0.06,3.35
0.12,0.06,3.35
0.13,0.06,3.35
0.14,0.06,3.35
0.15,0.06,3.35
0.16,0.06,3.35
0.17,0.06,3.35
0.18,0.06,3.35
0.19,0.06,3.35
0.2,0.06,3.35
0.21,0.06,3.35
0.22,0.06,3.35
0.23,0.06,3.35
0.24,0.06,3.35
0.25,0.06,3.35
0.07,0.08,3.35
0.08,0.08,3.35
0.09,0.08,3.35
0.1,0.08,3.35
0.11,0.08,3.35
0.12,0.08,3.35
0.13,0.08,3.35
0.14,0.08,3.35
0.15,0.08,3.35
0.16,0.08,3.35
0.17,0.08,3.35
0.06,0.1,3.35
0.07,0.1,3.35
0.08,0.1,3.35
0.09,0.1,3.35
0.1,0.1,3.35
0.11,0.1,3.35
0.12,0.1,3.35
0.13,0.1,3.35
0.76,0.02,3.4
0.77,0.02,3.4
0.78,0.02,3.4
0.79,0.02,3.4
0.8,0.02,3.4
0.81,0.02,3.4
0.82,0.02,3.4
0.83,0.02,3.4
0.84,0.02,3.4
0.85,0.02,3.4
0.86,0.02,3.4
0.87,0.02,3.4
0.88,0.02,3.4
0.89,0.02,3.4
0.9,0.02,3.4
0.91,0.02,3.4
0.92,0.02,3.4
0.93,0.02,3.4
0.94,0.02,3.4
0.95,0.02,3.4
0.96,0.02,3.4
0.97,0.02,3.4
0.98,0.02,3.4
0.99,0.02,3.4
1.0,0.02,3.4
0.18,0.04,3.4
0.19,0.04,3.4
0.2,0.04,3.4
0.21,0.04,3.4
0.22,0.04,3.4
0.23,0.04,3.4
0.24,0.04,3.4
0.25,0.04,3.4
0.26,0.04,3.4
0.27,0.04,3.4
0.28,0.04,3.4
0.29,0.04,3.4
0.3,0.04,3.4
0.31,0.04,3.4
0.32,0.04,3.4
0.33,0.04,3.4
0.34,0.04,3.4
0.35,0.04,3.4
0.36,0.04,3.4
0.37,0.04,3.4
0.38,0.04,3.4
0.39,0.04,3.4
0.4,0.04,3.4
0.1,0.06,3.4
0.11,0.06,3.4
0.12,0.06,3.4
0.13,0.06,3.4
0.14,0.06,3.4
0.15,0.06,3.4
0.16,0.06,3.4
0.17,0.06,3.4
0.18,0.06,3.4
0.19,0.06,3.4
0.2,0.06,3.4
0.21,0.06,3.4
0.22,0.06,3.4
0.23,0.06,3.4
0.24,0.06,3.4
0.07,0.08,3.4
0.08,0.08,3.4
0.09,0.08,3.4
0.1,0.08,3.4
0.11,0.08,3.4
0.12,0.08,3.4
0.13,0.08,3.4
0.14,0.08,3.4
0.15,0.08,3.4
0.16,0.08,3.4
0.17,0.08,3.4
0.06,0.1,3.4
0.07,0.1,3.4
0.08,0.1,3.4
0.09,0.1,3.4
0.1,0.1,3.4
0.11,0.1,3.4
0.12,0.1,3.4
0.13,0.1,3.4
0.76,0.02,3.45
0.77,0.02,3.45
0.78,0.02,3.45
0.79,0.02,3.45
0.8,0.02,3.45
0.81,0.02,3.45
0.82,0.02,3.45
0.83,0.02,3.45
0.84,0.02,3.45
0.85,0.02,3.45
0.86,0.02,3.45
0.87,0.02,3.45
0.88,0.02,3.45
0.89,0.02,3.45
0.9,0.02,3.45
0.91,0.02,3.45
0.92,0.02,3.45
0.93,0.02,3.45
0.94,0.02,3.45
0.95,0.02,3.45
0.96,0.02,3.45
0.97,0.02,3.45
0.98,0.02,3.45
0.99,0.02,3.45
1.0,0.02,3.45
0.18,0.04,3.45
0.19,0.04,3.45
0.2,0.04,3.45
0.21,0.04,3.45
0.22,0.04,3.45
0.23,0.04,3.45
0.24,0.04,3.45
0.25,0.04,3.45
0.26,0.04,3.45
0.27,0.04,3.45
0.28,0.04,3.45
0.29,0.04,3.45
0.3,0.04,3.45
0.31,0.04,3.45
0.32,0.04,3.45
0.33,0.04,3.45
0.34,0.04,3.45
0.35,0.04,3.45
0.36,0.04,3.45
0.37,0.04,3.45
0.38,0.04,3.45
0.39,0.04,3.45
0.4,0.04,3.45
0.1,0.06,3.45
0.11,0.06,3.45
0.12,0.06,3.45
0.13,0.06,3.45
0.14,0.06,3.45
0.15,0.06,3.45
0.16,0.06,3.45
0.17,0.06,3.45
0.18,0.06,3.45
0.19,0.06,3.45
0.2,0.06,3.45
0.21,0.06,3.45
0.22,0.06,3.45
0.23,0.06,3.45
0.24,0.06,3.45
0.07,0.08,3.45
0.08,0.08,3.45
0.09,0.08,3.45
0.1,0.08,3.45
0.11,0.08,3.45
0.12,0.08,3.45
0.13,0.08,3.45
0.14,0.08,3.45
0.15,0.08,3.45
0.16,0.08,3.45
0.17,0.08,3.45
0.06,0.1,3.45
0.07,0.1,3.45
0.08,0.1,3.45
0.09,0.1,3.45
0.1,0.1,3.45
0.11,0.1,3.45
0.12,0.1,3.45
0.13,0.1,3.45
0.76,0.02,3.5
0.77,0.02,3.5
0.78,0.02,3.5
0.79,0.02,3.5
0.8,0.02,3.5
0.81,0.02,3.5
0.82,0.02,3.5
0.83,0.02,3.5
0.84,0.02,3.5
0.85,0.02,3.5
0.86,0.02,3.5
0.87,0.02,3.5
0.88,0.02,3.5
0.89,0.02,3.5
0.9,0.02,3.5
0.91,0.02,3.5
0.92,0.02,3.5
0.93,0.02,3.5
0.94,0.02,3.5
0.95,0.02,3.5
0.96,0.02,3.5
0.97,0.02,3.5
0.98,0.02,3.5
0.99,0.02,3.5
1.0,0.02,3.5
0.18,0.04,3.5
0.19,0.04,3.5
0.2,0.04,3.5
0.21,0.04,3.5
0.22,0.04,3.5
0.23,0.04,3.5
0.24,0.04,3.5
0.25,0.04,3.5
0.26,0.04,3.5
0.27,0.04,3.5
0.28,0.04,3.5
0.29,0.04,3.5
0.3,0.04,3.5
0.31,0.04,3.5
0.32,0.04,3.5
0.33,0.04,3.5
0.34,0.04,3.5
0.35,0.04,3.5
0.36,0.04,3.5
0.37,0.04,3.5
0.38,0.04,3.5
0.39,0.04,3.5
0.4,0.04,3.5
0.1,0.06,3.5
0.11,0.06,3.5
0.12,0.06,3.5
0.13,0.06,3.5
0.14,0.06,3.5
0.15,0.06,3.5
0.16,0.06,3.5
0.17,0.06,3.5
0.18,0.06,3.5
0.19,0.06,3.5
0.2,0.06,3.5
0.21,0.06,3.5
0.22,0.06,3.5
0.23,0.06,3.5
0.24,0.06,3.5
0.07,0.08,3.5
0.08,0.08,3.5
0.09,0.08,3.5
0.1,0.08,3.5
0.11,0.08,3.5
0.12,0.08,3.5
0.13,0.08,3.5
0.14,0.08,3.5
0.15,0.08,3.5
0.16,0.08,3.5
0.17,0.08,3.5
0.05,0.1,3.5
0.06,0.1,3.5
0.07,0.1,3.5
0.08,0.1,3.5
0.09,0.1,3.5
0.1,0.1,3.5
0.11,0.1,3.5
0.12,0.1,3.5
0.76,0.02,3.55
0.77,0.02,3.55
0.78,0.02,3.55
0.79,0.02,3.55
0.8,0.02,3.55
0.81,0.02,3.55
0.82,0.02,3.55
0.83,0.02,3.55
0.84,0.02,3.55
0.85,0.02,3.55
0.86,0.02,3.55
0.87,0.02,3.55
0.88,0.02,3.55
0.89,0.02,3.55
0.9,0.02,3.55
0.91,0.02,3.55
0.92,0.02,3.55
0.93,0.02,3.55
0.94,0.02,3.55
0.95,0.02,3.55
0.96,0.02,3.55
0.97,0.02,3.55
0.98,0.02,3.55
0.99,0.02,3.55
1.0,0.02,3.55
0.17,0.04,3.55
0.18,0.04,3.55
0.19,0.04,3.55
0.2,0.04,3.55
0.21,0.04,3.55
0.22,0.04,3.55
0.23,0.04,3.55
0.24,0.04,3.55
0.25,0.04,3.55
0.26,0.04,3.55
0.27,0.04,3.55
0.28,0.04,3.55
0.29,0.04,3.55
0.3,0.04,3.55
0.31,0.04,3.55
0.32,0.04,3.55
0.33,0.04,3.55
0.34,0.04,3.55
0.35,0.04,3.55
0.36,0.04,3.55
0.37,0.04,3.55
0.38,0.04,3.55
0.39,0.04,3.55
0.1,0.06,3.55
0.11,0.06,3.55
0.12,0.06,3.55
0.13,0.06,3.55
0.14,0.06,3.55
0.15,0.06,3.55
0.16,0.06,3.55
0.17,0.06,3.55
0.18,0.06,3.55
0.19,0.06,3.55
0.2,0.06,3.55
0.21,0.06,3.55
0.22,0.06,3.55
0.23,0.06,3.55
0.24,0.06,3.55
0.06,0.08,3.55
0.07,0.08,3.55
0.08,0.08,3.55
0.09,0.08,3.55
0.1,0.08,3.55
0.11,0.08,3.55
0.12,0.08,3.55
0.13,0.08,3.55
0.14,0.08,3.55
0.15,0.08,3.55
0.16,0.08,3.55
0.05,0.1,3.55
0.06,0.1,3.55
0.07,0.1,3.55
0.08,0.1,3.55
0.09,0.1,3.55
0.1,0.1,3.55
0.11,0.1,3.55
0.12,0.1,3.55
0.76,0.02,3.6
0.77,0.02,3.6
0.78,0.02,3.6
0.79,0.02,3.6
0.8,0.02,3.6
0.81,0.02,3.6
0.82,0.02,3.6
0.83,0.02,3.6
0.84,0.02,3.6
0.85,0.02,3.6
0.86,0.02,3.6
0.87,0.02,3.6
0.88,0.02,3.6
0.89,0.02,3.6
0.9,0.02,3.6
0.91,0.02,3.6
0.92,0.02,3.6
0.93,0.02,3.6
0.94,0.02,3.6
0.95,0.02,3.6
0.96,0.02,3.6
0.97,0.02,3.6
0.98,0.02,3.6
0.99,0.02,3.6
1.0,0.02,3.6
0.17,0.04,3.6
0.18,0.04,3.6
0.19,0.04,3.6
0.2,0.04,3.6
0.21,0.04,3.6
0.22,0.04,3.6
0.23,0.04,3.6
0.24,0.04,3.6
0.25,0.04,3.6
0.26,0.04,3.6
0.27,0.04,3.6
0.28,0.04,3.6
0.29,0.04,3.6
0.3,0.04,3.6
0.31,0.04,3.6
0.32,0.04,3.6
0.33,0.04,3.6
0.34,0.04,3.6
0.35,0.04,3.6
0.36,0.04,3.6
0.37,0.04,3.6
0.38,0.04,3.6
0.39,0.04,3.6
0.09,0.06,3.6
0.1,0.06,3.6
0.11,0.06,3.6
0.12,0.06,3.6
0.13,0.06,3.6
0.14,0.06,3.6
0.15,0.06,3.6
0.16,0.06,3.6
0.17,0.06,3.6
0.18,0.06,3.6
0.19,0.06,3.6
0.2,0.06,3.6
0.21,0.06,3.6
0.22,0.06,3.6
0.23,0.06,3.6
0.06,0.08,3.6
0.07,0.08,3.6
0.08,0.08,3.6
0.09,0.08,3.6
0.1,0.08,3.6
0.11,0.08,3.6
0.12,0.08,3.6
0.13,0.08,3.6
0.14,0.08,3.6
0.15,0.08,3.6
0.16,0.08,3.6
0.05,0.1,3.6
0.06,0.1,3.6
0.07,0.1,3.6
0.08,0.1,3.6
0.09,0.1,3.6
0.1,0.1,3.6
0.11,0.1,3.6
0.12,0.1,3.6
0.76,0.02,3.65
0.77,0.02,3.65
0.78,0.02,3.65
0.79,0.02,3.65
0.8,0.02,3.65
0.81,0.02,3.65
0.82,0.02,3.65
0.83,0.02,3.65
0.84,0.02,3.65
0.85,0.02,3.65
0.86,0.02,3.65
0.87,0.02,3.65
0.88,0.02,3.65
0.89,0.02,3.65
0.9,0.02,3.65
0.91,0.02,3.65
0.92,0.02,3.65
0.93,0.02,3.65
0.94,0.02,3.65
0.95,0.02,3.65
0.96,0.02,3.65
0.97,0.02,3.65
0.98,0.02,3.65
0.99,0.02,3.65
1.0,0.02,3.65
0.16,0.04,3.65
0.17,0.04,3.65
0.18,0.04,3.65
0.19,0.04,3.65
0.2,0.04,3.65
0.21,0.04,3.65
0.22,0.04,3.65
0.23,0.04,3.65
0.24,0.04,3.65
0.25,0.04,3.65
0.26,0.04,3.65
0.27,0.04,3.65
0.28,0.04,3.65
0.29,0.04,3.65
0.3,0.04,3.65
0.31,0.04,3.65
0.32,0.04,3.65
0.33,0.04,3.65
0.34,0.04,3.65
0.35,0.04,3.65
0.36,0.04,3.65
0.37,0.04,3.65
0.38,0.04,3.65
0.09,0.06,3.65
0.1,0.06,3.65
0.11,0.06,3.65
0.12,0.06,3.65
0.13,0.06,3.65
0.14,0.06,3.65
0.15,0.06,3.65
0.16,0.06,3.65
0.17,0.06,3.65
0.18,0.06,3.65
0.19,0.06,3.65
0.2,0.06,3.65
0.21,0.06,3.65
0.22,0.06,3.65
0.23,0.06,3.65
0.06,0.08,3.65
0.07,0.08,3.65
0.08,0.08,3.65
0.09,0.08,3.65
0.1,0.08,3.65
0.11,0.08,3.65
0.12,0.08,3.65
0.13,0.08,3.65
0.14,0.08,3.65
0.15,0.08,3.65
0.16,0.08,3.65
0.05,0.1,3.65
0.06,0.1,3.65
0.07,0.1,3.65
0.08,0.1,3.65
