adhesivity_time_400,particle_size,weight_coefficient
1.0,0.01,0.0
1.0,0.02,0.0
1.0,0.03,0.0
1.0,0.04,0.0
1.0,0.05,0.0
1.0,0.06,0.0
1.0,0.07,0.0
1.0,0.08,0.0
1.0,0.09,0.0
1.0,0.1,0.0
1.0,0.01,0.05
1.0,0.02,0.05
1.0,0.03,0.05
1.0,0.04,0.05
1.0,0.05,0.05
1.0,0.06,0.05
1.0,0.07,0.05
1.0,0.08,0.05
1.0,0.09,0.05
1.0,0.1,0.05
1.0,0.01,0.1
1.0,0.02,0.1
1.0,0.03,0.1
1.0,0.04,0.1
1.0,0.05,0.1
1.0,0.06,0.1
1.0,0.07,0.1
1.0,0.08,0.1
1.0,0.09,0.1
1.0,0.1,0.1
1.0,0.01,0.15
1.0,0.02,0.15
1.0,0.03,0.15
1.0,0.04,0.15
1.0,0.05,0.15
1.0,0.06,0.15
1.0,0.07,0.15
1.0,0.08,0.15
1.0,0.09,0.15
1.0,0.1,0.15
1.0,0.01,0.2
1.0,0.02,0.2
1.0,0.03,0.2
1.0,0.04,0.2
1.0,0.05,0.2
1.0,0.06,0.2
1.0,0.07,0.2
1.0,0.08,0.2
1.0,0.09,0.2
1.0,0.1,0.2
1.0,0.01,0.25
1.0,0.02,0.25
1.0,0.03,0.25
1.0,0.04,0.25
1.0,0.05,0.25
1.0,0.06,0.25
1.0,0.07,0.25
1.0,0.08,0.25
1.0,0.09,0.25
1.0,0.1,0.25
1.0,0.01,0.3
1.0,0.02,0.3
1.0,0.03,0.3
1.0,0.04,0.3
1.0,0.05,0.3
1.0,0.06,0.3
1.0,0.07,0.3
1.0,0.08,0.3
1.0,0.09,0.3
1.0,0.1,0.3
1.0,0.01,0.35
1.0,0.02,0.35
0.95,0.03,0.35
0.95,0.04,0.35
0.94,0.05,0.35
0.94,0.06,0.35
0.93,0.07,0.35
0.93,0.08,0.35
0.92,0.09,0.35
0.91,0.1,0.35
1.0,0.01,0.4
1.0,0.02,0.4
0.86,0.03,0.4
0.85,0.04,0.4
0.84,0.05,0.4
0.84,0.06,0.4
0.84,0.07,0.4
0.83,0.08,0.4
0.83,0.09,0.4
0.82,0.1,0.4
1.0,0.01,0.45
1.0,0.02,0.45
0.77,0.03,0.45
0.77,0.04,0.45
0.76,0.05,0.45
0.75,0.06,0.45
0.75,0.07,0.45
0.75,0.08,0.45
0.74,0.09,0.45
0.74,0.1,0.45
1.0,0.01,0.5
1.0,0.02,0.5
0.77,0.03,0.5
0.69,0.04,0.5
0.68,0.05,0.5
0.68,0.06,0.5
0.67,0.07,0.5
0.67,0.08,0.5
0.67,0.09,0.5
0.66,0.1,0.5
1.0,0.01,0.55
0.99,0.02,0.55
0.77,0.03,0.55
0.62,0.04,0.55
0.61,0.05,0.55
0.61,0.06,0.55
0.6,0.07,0.55
0.6,0.08,0.55
0.6,0.09,0.55
0.59,0.1,0.55
1.0,0.01,0.6
0.96,0.02,0.6
0.77,0.03,0.6
0.6,0.04,0.6
0.55,0.05,0.6
0.54,0.06,0.6
0.54,0.07,0.6
0.54,0.08,0.6
0.53,0.09,0.6
0.53,0.1,0.6
1.0,0.01,0.65
0.93,0.02,0.65
0.77,0.03,0.65
0.6,0.04,0.65
0.49,0.05,0.65
0.48,0.06,0.65
0.48,0.07,0.65
0.48,0.08,0.65
0.47,0.09,0.65
0.47,0.1,0.65
1.0,0.01,0.7
0.91,0.02,0.7
0.75,0.03,0.7
0.6,0.04,0.7
0.49,0.05,0.7
0.43,0.06,0.7
0.4,0.07,0.7
0.4,0.08,0.7
0.4,0.09,0.7
0.4,0.1,0.7
1.0,0.01,0.75
0.88,0.02,0.75
0.73,0.03,0.75
0.6,0.04,0.75
0.49,0.05,0.75
0.42,0.06,0.75
0.37,0.07,0.75
0.36,0.08,0.75
0.36,0.09,0.75
0.36,0.1,0.75
1.0,0.01,0.8
0.86,0.02,0.8
0.7,0.03,0.8
0.6,0.04,0.8
0.49,0.05,0.8
0.41,0.06,0.8
0.36,0.07,0.8
0.31,0.08,0.8
0.31,0.09,0.8
0.31,0.1,0.8
1.0,0.01,0.85
0.84,0.02,0.85
0.68,0.03,0.85
0.59,0.04,0.85
0.49,0.05,0.85
0.41,0.06,0.85
0.36,0.07,0.85
0.31,0.08,0.85
0.28,0.09,0.85
0.25,0.1,0.85
1.0,0.01,0.9
0.82,0.02,0.9
0.66,0.03,0.9
0.57,0.04,0.9
0.49,0.05,0.9
0.41,0.06,0.9
0.35,0.07,0.9
0.31,0.08,0.9
0.28,0.09,0.9
0.25,0.1,0.9
1.0,0.01,0.95
0.8,0.02,0.95
0.65,0.03,0.95
0.55,0.04,0.95
0.49,0.05,0.95
0.41,0.06,0.95
0.35,0.07,0.95
0.31,0.08,0.95
0.28,0.09,0.95
0.25,0.1,0.95
1.0,0.01,1.0
0.78,0.02,1.0
0.63,0.03,1.0
0.54,0.04,1.0
0.48,0.05,1.0
0.4,0.06,1.0
0.35,0.07,1.0
0.31,0.08,1.0
0.27,0.09,1.0
0.25,0.1,1.0
1.0,0.01,1.05
0.76,0.02,1.05
0.61,0.03,1.05
0.52,0.04,1.05
0.46,0.05,1.05
0.4,0.06,1.05
0.35,0.07,1.05
0.31,0.08,1.05
0.27,0.09,1.05
0.25,0.1,1.05
1.0,0.01,1.1
0.75,0.02,1.1
0.59,0.03,1.1
0.5,0.04,1.1
0.44,0.05,1.1
0.4,0.06,1.1
0.35,0.07,1.1
0.31,0.08,1.1
0.27,0.09,1.1
0.24,0.1,1.1
1.0,0.01,1.15
0.73,0.02,1.15
0.58,0.03,1.15
0.49,0.04,1.15
0.4,0.05,1.15
0.38,0.06,1.15
0.35,0.07,1.15
0.31,0.08,1.15
0.27,0.09,1.15
0.24,0.1,1.15
1.0,0.01,1.2
0.71,0.02,1.2
0.56,0.03,1.2
0.47,0.04,1.2
0.4,0.05,1.2
0.37,0.06,1.2
0.33,0.07,1.2
0.31,0.08,1.2
0.27,0.09,1.2
0.24,0.1,1.2
1.0,0.01,1.25
0.7,0.02,1.25
0.54,0.03,1.25
0.46,0.04,1.25
0.4,0.05,1.25
0.35,0.06,1.25
0.32,0.07,1.25
0.29,0.08,1.25
0.27,0.09,1.25
0.24,0.1,1.25
1.0,0.01,1.3
0.68,0.02,1.3
0.53,0.03,1.3
0.44,0.04,1.3
0.38,0.05,1.3
0.34,0.06,1.3
0.3,0.07,1.3
0.28,0.08,1.3
0.25,0.09,1.3
0.23,0.1,1.3
1.0,0.01,1.35
0.66,0.02,1.35
0.51,0.03,1.35
0.4,0.04,1.35
0.37,0.05,1.35
0.32,0.06,1.35
0.29,0.07,1.35
0.26,0.08,1.35
0.24,0.09,1.35
0.22,0.1,1.35
0.99,0.01,1.4
0.65,0.02,1.4
0.5,0.03,1.4
0.4,0.04,1.4
0.35,0.05,1.4
0.31,0.06,1.4
0.27,0.07,1.4
0.25,0.08,1.4
0.22,0.09,1.4
0.21,0.1,1.4
0.98,0.01,1.45
0.64,0.02,1.45
0.49,0.03,1.45
0.4,0.04,1.45
0.34,0.05,1.45
0.29,0.06,1.45
0.26,0.07,1.45
0.23,0.08,1.45
0.21,0.09,1.45
0.19,0.1,1.45
0.96,0.01,1.5
0.62,0.02,1.5
0.47,0.03,1.5
0.38,0.04,1.5
0.32,0.05,1.5
0.28,0.06,1.5
0.25,0.07,1.5
0.22,0.08,1.5
0.21,0.09,1.5
0.18,0.1,1.5
0.95,0.01,1.55
0.61,0.02,1.55
0.46,0.03,1.55
0.37,0.04,1.55
0.31,0.05,1.55
0.27,0.06,1.55
0.23,0.07,1.55
0.21,0.08,1.55
0.19,0.09,1.55
0.17,0.1,1.55
0.93,0.01,1.6
0.59,0.02,1.6
0.44,0.03,1.6
0.36,0.04,1.6
0.3,0.05,1.6
0.25,0.06,1.6
0.22,0.07,1.6
0.2,0.08,1.6
0.17,0.09,1.6
0.16,0.1,1.6
0.92,0.01,1.65
0.58,0.02,1.65
0.43,0.03,1.65
0.34,0.04,1.65
0.29,0.05,1.65
0.24,0.06,1.65
0.21,0.07,1.65
0.18,0.08,1.65
0.16,0.09,1.65
0.15,0.1,1.65
0.91,0.01,1.7
0.57,0.02,1.7
0.4,0.03,1.7
0.33,0.04,1.7
0.27,0.05,1.7
0.23,0.06,1.7
0.21,0.07,1.7
0.17,0.08,1.7
0.15,0.09,1.7
0.14,0.1,1.7
0.89,0.01,1.75
0.55,0.02,1.75
0.4,0.03,1.75
0.32,0.04,1.75
0.26,0.05,1.75
0.22,0.06,1.75
0.19,0.07,1.75
0.16,0.08,1.75
0.14,0.09,1.75
0.13,0.1,1.75
0.88,0.01,1.8
0.54,0.02,1.8
0.39,0.03,1.8
0.31,0.04,1.8
0.25,0.05,1.8
0.21,0.06,1.8
0.18,0.07,1.8
0.16,0.08,1.8
0.14,0.09,1.8
0.12,0.1,1.8
0.86,0.01,1.85
0.53,0.02,1.85
0.38,0.03,1.85
0.3,0.04,1.85
0.24,0.05,1.85
0.21,0.06,1.85
0.17,0.07,1.85
0.15,0.08,1.85
0.13,0.09,1.85
0.11,0.1,1.85
0.85,0.01,1.9
0.52,0.02,1.9
0.37,0.03,1.9
0.28,0.04,1.9
0.23,0.05,1.9
0.19,0.06,1.9
0.16,0.07,1.9
0.14,0.08,1.9
0.12,0.09,1.9
0.11,0.1,1.9
0.84,0.01,1.95
0.5,0.02,1.95
0.35,0.03,1.95
0.27,0.04,1.95
0.22,0.05,1.95
0.18,0.06,1.95
0.15,0.07,1.95
0.13,0.08,1.95
0.11,0.09,1.95
0.1,0.1,1.95
0.83,0.01,2.0
0.49,0.02,2.0
0.35,0.03,2.0
0.26,0.04,2.0
0.21,0.05,2.0
0.17,0.06,2.0
0.14,0.07,2.0
0.12,0.08,2.0
0.11,0.09,2.0
0.1,0.1,2.0
0.81,0.01,2.05
0.48,0.02,2.05
0.33,0.03,2.05
0.25,0.04,2.05
0.21,0.05,2.05
0.16,0.06,2.05
0.14,0.07,2.05
0.12,0.08,2.05
0.1,0.09,2.05
0.09,0.1,2.05
0.8,0.01,2.1
0.47,0.02,2.1
0.32,0.03,2.1
0.24,0.04,2.1
0.19,0.05,2.1
0.16,0.06,2.1
0.13,0.07,2.1
0.11,0.08,2.1
0.1,0.09,2.1
0.09,0.1,2.1
0.79,0.01,2.15
0.45,0.02,2.15
0.31,0.03,2.15
0.23,0.04,2.15
0.18,0.05,2.15
0.15,0.06,2.15
0.13,0.07,2.15
0.11,0.08,2.15
0.09,0.09,2.15
0.08,0.1,2.15
0.78,0.01,2.2
0.44,0.02,2.2
0.3,0.03,2.2
0.22,0.04,2.2
0.18,0.05,2.2
0.14,0.06,2.2
0.12,0.07,2.2
0.1,0.08,2.2
0.09,0.09,2.2
0.08,0.1,2.2
0.77,0.01,2.25
0.4,0.02,2.25
0.29,0.03,2.25
0.22,0.04,2.25
0.17,0.05,2.25
0.14,0.06,2.25
0.12,0.07,2.25
0.1,0.08,2.25
0.09,0.09,2.25
0.08,0.1,2.25
0.75,0.01,2.3
0.4,0.02,2.3
0.28,0.03,2.3
0.21,0.04,2.3
0.16,0.05,2.3
0.13,0.06,2.3
0.11,0.07,2.3
0.1,0.08,2.3
0.08,0.09,2.3
0.07,0.1,2.3
0.74,0.01,2.35
0.4,0.02,2.35
0.27,0.03,2.35
0.21,0.04,2.35
0.16,0.05,2.35
0.13,0.06,2.35
0.11,0.07,2.35
0.09,0.08,2.35
0.08,0.09,2.35
0.07,0.1,2.35
0.73,0.01,2.4
0.4,0.02,2.4
0.26,0.03,2.4
0.19,0.04,2.4
0.15,0.05,2.4
0.12,0.06,2.4
0.1,0.07,2.4
0.09,0.08,2.4
0.08,0.09,2.4
0.07,0.1,2.4
0.72,0.01,2.45
0.39,0.02,2.45
0.26,0.03,2.45
0.19,0.04,2.45
0.14,0.05,2.45
0.12,0.06,2.45
0.1,0.07,2.45
0.08,0.08,2.45
0.07,0.09,2.45
0.07,0.1,2.45
0.71,0.01,2.5
0.38,0.02,2.5
0.25,0.03,2.5
0.18,0.04,2.5
0.14,0.05,2.5
0.11,0.06,2.5
0.09,0.07,2.5
0.08,0.08,2.5
0.07,0.09,2.5
0.06,0.1,2.5
0.7,0.01,2.55
0.37,0.02,2.55
0.24,0.03,2.55
0.17,0.04,2.55
0.13,0.05,2.55
0.11,0.06,2.55
0.09,0.07,2.55
0.08,0.08,2.55
0.07,0.09,2.55
0.06,0.1,2.55
0.69,0.01,2.6
0.36,0.02,2.6
0.23,0.03,2.6
0.17,0.04,2.6
0.13,0.05,2.6
0.11,0.06,2.6
0.09,0.07,2.6
0.08,0.08,2.6
0.07,0.09,2.6
0.06,0.1,2.6
0.68,0.01,2.65
0.35,0.02,2.65
0.23,0.03,2.65
0.16,0.04,2.65
0.13,0.05,2.65
0.1,0.06,2.65
0.09,0.07,2.65
0.07,0.08,2.65
0.06,0.09,2.65
0.06,0.1,2.65
0.67,0.01,2.7
0.34,0.02,2.7
0.22,0.03,2.7
0.16,0.04,2.7
0.12,0.05,2.7
0.1,0.06,2.7
0.08,0.07,2.7
0.07,0.08,2.7
0.06,0.09,2.7
0.05,0.1,2.7
0.66,0.01,2.75
0.33,0.02,2.75
0.21,0.03,2.75
0.15,0.04,2.75
0.12,0.05,2.75
0.1,0.06,2.75
0.08,0.07,2.75
0.07,0.08,2.75
0.06,0.09,2.75
0.05,0.1,2.75
0.65,0.01,2.8
0.33,0.02,2.8
0.21,0.03,2.8
0.15,0.04,2.8
0.11,0.05,2.8
0.09,0.06,2.8
0.08,0.07,2.8
0.07,0.08,2.8
0.06,0.09,2.8
0.05,0.1,2.8
0.63,0.01,2.85
0.32,0.02,2.85
0.21,0.03,2.85
0.14,0.04,2.85
0.11,0.05,2.85
0.09,0.06,2.85
0.08,0.07,2.85
0.06,0.08,2.85
0.06,0.09,2.85
0.05,0.1,2.85
0.62,0.01,2.9
0.31,0.02,2.9
0.2,0.03,2.9
0.14,0.04,2.9
0.11,0.05,2.9
0.09,0.06,2.9
0.07,0.07,2.9
0.06,0.08,2.9
0.05,0.09,2.9
0.05,0.1,2.9
0.61,0.01,2.95
0.3,0.02,2.95
0.19,0.03,2.95
0.14,0.04,2.95
0.1,0.05,2.95
0.09,0.06,2.95
0.07,0.07,2.95
0.06,0.08,2.95
0.05,0.09,2.95
0.05,0.1,2.95
0.61,0.01,3.0
0.29,0.02,3.0
0.18,0.03,3.0
0.13,0.04,3.0
0.1,0.05,3.0
0.08,0.06,3.0
0.07,0.07,3.0
0.06,0.08,3.0
0.05,0.09,3.0
0.05,0.1,3.0
0.59,0.01,3.05
0.29,0.02,3.05
0.18,0.03,3.05
0.13,0.04,3.05
0.1,0.05,3.05
0.08,0.06,3.05
0.07,0.07,3.05
0.06,0.08,3.05
0.05,0.09,3.05
0.04,0.1,3.05
0.58,0.01,3.1
0.28,0.02,3.1
0.17,0.03,3.1
0.12,0.04,3.1
0.1,0.05,3.1
0.08,0.06,3.1
0.07,0.07,3.1
0.06,0.08,3.1
0.05,0.09,3.1
0.04,0.1,3.1
0.58,0.01,3.15
0.27,0.02,3.15
0.17,0.03,3.15
0.12,0.04,3.15
0.09,0.05,3.15
0.08,0.06,3.15
0.06,0.07,3.15
0.05,0.08,3.15
0.05,0.09,3.15
0.04,0.1,3.15
0.57,0.01,3.2
0.27,0.02,3.2
0.17,0.03,3.2
0.12,0.04,3.2
0.09,0.05,3.2
0.07,0.06,3.2
0.06,0.07,3.2
0.05,0.08,3.2
0.05,0.09,3.2
0.04,0.1,3.2
0.56,0.01,3.25
0.26,0.02,3.25
0.16,0.03,3.25
0.12,0.04,3.25
0.09,0.05,3.25
0.07,0.06,3.25
0.06,0.07,3.25
0.05,0.08,3.25
0.05,0.09,3.25
0.04,0.1,3.25
0.55,0.01,3.3
0.25,0.02,3.3
0.16,0.03,3.3
0.11,0.04,3.3
0.09,0.05,3.3
0.07,0.06,3.3
0.06,0.07,3.3
0.05,0.08,3.3
0.04,0.09,3.3
0.04,0.1,3.3
0.54,0.01,3.35
0.25,0.02,3.35
0.15,0.03,3.35
0.11,0.04,3.35
0.09,0.05,3.35
0.07,0.06,3.35
0.06,0.07,3.35
0.05,0.08,3.35
0.04,0.09,3.35
0.04,0.1,3.35
0.53,0.01,3.4
0.24,0.02,3.4
0.15,0.03,3.4
0.11,0.04,3.4
0.08,0.05,3.4
0.07,0.06,3.4
0.06,0.07,3.4
0.05,0.08,3.4
0.04,0.09,3.4
0.04,0.1,3.4
0.52,0.01,3.45
0.24,0.02,3.45
0.15,0.03,3.45
0.11,0.04,3.45
0.08,0.05,3.45
0.07,0.06,3.45
0.06,0.07,3.45
0.05,0.08,3.45
0.04,0.09,3.45
0.04,0.1,3.45
0.51,0.01,3.5
0.23,0.02,3.5
0.14,0.03,3.5
0.1,0.04,3.5
0.08,0.05,3.5
0.06,0.06,3.5
0.05,0.07,3.5
0.05,0.08,3.5
0.04,0.09,3.5
0.04,0.1,3.5
0.5,0.01,3.55
0.23,0.02,3.55
0.14,0.03,3.55
0.1,0.04,3.55
0.08,0.05,3.55
0.06,0.06,3.55
0.05,0.07,3.55
0.05,0.08,3.55
0.04,0.09,3.55
0.03,0.1,3.55
0.49,0.01,3.6
0.22,0.02,3.6
0.14,0.03,3.6
0.1,0.04,3.6
0.08,0.05,3.6
0.06,0.06,3.6
0.05,0.07,3.6
0.04,0.08,3.6
0.04,0.09,3.6
0.03,0.1,3.6
0.48,0.01,3.65
0.22,0.02,3.65
0.13,0.03,3.65
0.1,0.04,3.65
0.07,0.05,3.65
0.06,0.06,3.65
0.05,0.07,3.65
0.04,0.08,3.65
0.04,0.09,3.65
0.03,0.1,3.65
0.48,0.01,3.7
0.21,0.02,3.7
0.13,0.03,3.7
0.09,0.04,3.7
0.07,0.05,3.7
0.06,0.06,3.7
0.05,0.07,3.7
0.04,0.08,3.7
0.04,0.09,3.7
0.03,0.1,3.7
0.47,0.01,3.75
0.21,0.02,3.75
0.13,0.03,3.75
0.09,0.04,3.75
0.07,0.05,3.75
0.06,0.06,3.75
0.05,0.07,3.75
0.04,0.08,3.75
0.04,0.09,3.75
0.03,0.1,3.75
0.46,0.01,3.8
0.21,0.02,3.8
0.13,0.03,3.8
0.09,0.04,3.8
0.07,0.05,3.8
0.06,0.06,3.8
0.05,0.07,3.8
0.04,0.08,3.8
0.04,0.09,3.8
0.03,0.1,3.8
0.45,0.01,3.85
0.21,0.02,3.85
0.12,0.03,3.85
0.09,0.04,3.85
0.07,0.05,3.85
0.06,0.06,3.85
0.05,0.07,3.85
0.04,0.08,3.85
0.03,0.09,3.85
0.03,0.1,3.85
0.45,0.01,3.9
0.2,0.02,3.9
0.12,0.03,3.9
0.09,0.04,3.9
0.07,0.05,3.9
0.05,0.06,3.9
0.05,0.07,3.9
0.04,0.08,3.9
0.03,0.09,3.9
0.03,0.1,3.9
0.4,0.01,3.95
0.19,0.02,3.95
0.12,0.03,3.95
0.09,0.04,3.95
0.07,0.05,3.95
0.05,0.06,3.95
0.04,0.07,3.95
0.04,0.08,3.95
0.03,0.09,3.95
0.03,0.1,3.95
