adhesivity,particle_size,volume_time_400,efficiency_time_400
0.0,0.01,399.99999999999994,0.008494479202439686
0.05,0.01,381.8721205418566,0.10318369298289981
0.1,0.01,366.81286567875526,0.18874509498820669
0.15,0.01,354.15230868611053,0.2660694504083123
0.2,0.01,343.37311960119587,0.3359595622258921
0.25,0.01,334.1009622064771,0.3991383297772784
0.3,0.01,326.0476247751928,0.45625724613796304
0.35,0.01,318.971415123636,0.5079038784492793
0.4,0.01,312.6972185513903,0.5546076790821602
0.45,0.01,307.0783803773558,0.5968462128251971
0.5,0.01,302.00459637131985,0.6350503835914212
0.55,0.01,297.3771770801922,0.6696088159005474
0.6,0.01,293.1139996496813,0.7008724230405265
0.65,0.01,289.1540512538255,0.729157929274718
0.7,0.01,285.44023857245145,0.7547512167325651
0.75,0.01,281.9259757312734,0.7779105196969088
0.8,0.01,278.57174144907435,0.7988690418846631
0.85,0.01,275.34544640848617,0.817837423883942
0.9,0.01,272.2119792808392,0.835006028172328
0.95,0.01,269.149498297105,0.850546783524984
1.0,0.01,266.1312260603503,0.864615116867358
0.0,0.02,399.99999999999994,0.008494479202439686
0.05,0.02,365.30968888499757,0.10354872157139068
0.1,0.02,338.6935736667842,0.18937481687757352
0.15,0.02,317.6682163762063,0.26688599192762297
0.2,0.02,300.61436068341965,0.3369035351264105
0.25,0.02,286.4951043996781,0.40016416126260085
0.3,0.02,274.5541068488848,0.4573311942382869
0.35,0.02,264.2766588416251,0.5090004393305705
0.4,0.02,255.26022703593117,0.5557086323165745
0.45,0.02,247.22072199707256,0.5979384270479994
0.5,0.02,239.93074000922223,0.6361247509514
0.55,0.02,233.2211719498778,0.6706592715503965
0.6,0.02,226.95294493342428,0.7018951470017989
0.65,0.02,221.0167834664798,0.7301507632053577
0.7,0.02,215.3196307014857,0.7557133855143058
0.75,0.02,209.79497619770794,0.7788420189478106
0.8,0.02,204.38304481145045,0.7997705327598604
0.85,0.02,199.02332715092749,0.8187102287064746
0.9,0.02,193.71467317877233,0.8358511219828632
0.95,0.02,188.3970741310061,0.8513658278481703
1.0,0.02,183.0682177511833,0.8654095298144693
0.0,0.03,399.99999999999994,0.008494479202439686
0.05,0.03,350.1203494486655,0.10391384712796617
0.1,0.03,314.57137885481546,0.19000473846661362
0.15,0.03,287.9271730515308,0.267704717520886
0.2,0.03,267.1940196801785,0.3378517014509791
0.25,0.03,250.49238459042195,0.40119890849341155
0.3,0.03,236.64231466338737,0.4584206106231461
0.35,0.03,224.87301303151602,0.5101210069628511
0.4,0.03,214.60542817905267,0.5568440936775966
0.45,0.03,205.45410882218647,0.5990774411161102
0.5,0.03,197.11848437108168,0.6372600190294336
0.55,0.03,189.3884151537264,0.6717861922850108
0.6,0.03,182.08992905672295,0.7030114541403614
0.65,0.03,175.12084395707348,0.7312549881863523
0.7,0.03,168.37207501900386,0.7568054881582944
0.75,0.03,161.78754695471173,0.7799223552411194
0.8,0.03,153.65950550561828,0.8008879379126884
0.85,0.03,145.25895663855243,0.8198756855882777
0.9,0.03,137.73297889795032,0.8370422693359832
0.95,0.03,130.9396567526749,0.85256372720494
1.0,0.03,124.81613410316442,0.8665974169903038
0.0,0.04,399.99999999999994,0.008494479202439686
0.05,0.04,336.15122897816394,0.1042787682898383
0.1,0.04,293.63963213339036,0.1906352077784779
0.15,0.04,263.2495500178435,0.2685244866498825
0.2,0.04,240.33901076114628,0.3388046829933159
0.25,0.04,222.3063064380035,0.4022429047161013
0.3,0.04,207.57714993923213,0.45952530140493114
0.35,0.04,195.14641799693268,0.5112658479588611
0.4,0.04,184.3385820403847,0.5580146563279058
0.45,0.04,174.6885149679783,0.6002648104139072
0.5,0.04,165.88030783103454,0.6384581573785202
0.55,0.04,157.67126052668132,0.672992351080699
0.6,0.04,149.8955499344133,0.7042243466575471
0.65,0.04,139.36945692653745,0.7326190496406787
0.7,0.04,130.21832488200772,0.7582730607487163
0.75,0.04,122.20865024834157,0.7814513547404931
0.8,0.04,115.1381919476374,0.8023942943618165
0.85,0.04,108.84855053807904,0.8213188252757978
0.9,0.04,103.20989574674574,0.8384209706885959
0.95,0.04,98.12217171982289,0.8538773976811636
1.0,0.04,93.5053248028025,0.8678474881340209
0.0,0.05,399.99999999999994,0.008494479202439686
0.05,0.05,323.24060066231914,0.10464408424675617
0.1,0.05,275.2881037706932,0.1912668461069686
0.15,0.05,242.4151263543422,0.2693465288048121
0.2,0.05,218.29922157760117,0.33976196776937034
0.25,0.05,199.64895870523551,0.40329583789270745
0.3,0.05,184.579670747513,0.46064591711656555
0.35,0.05,171.91887165170334,0.5124359316940154
0.4,0.05,160.94401446335476,0.5592211036461776
0.45,0.05,151.12793114599143,0.601500975986989
0.5,0.05,141.2798282634082,0.6397746310693402
0.55,0.05,129.66873452266012,0.6745476907011065
0.6,0.05,119.85062022764265,0.7059440721891812
0.65,0.05,111.41494749591703,0.7342954862010043
0.7,0.05,104.10415600701037,0.7598976377962838
0.75,0.05,97.69306405181591,0.7830197926609338
0.8,0.05,92.04907685783121,0.803901504695137
0.85,0.05,87.00829349025557,0.8227640095071865
0.9,0.05,82.48984085633266,0.8398025918387085
0.95,0.05,78.41728599507503,0.8551944850282339
1.0,0.05,74.72436480003937,0.8690999560718258
0.0,0.06,399.99999999999994,0.008494479202439686
0.05,0.06,311.2819543549299,0.10500949785594824
0.1,0.06,259.1135995924262,0.19189773096868437
0.15,0.06,224.59165829995408,0.27017081111635854
0.2,0.06,199.88088653851835,0.3407238835975316
0.25,0.06,181.0338760438026,0.4043581417479472
0.3,0.06,165.9236190051456,0.46178319731128886
0.35,0.06,153.29835980918014,0.5136299976730192
0.4,0.06,142.335944661985,0.5604638893464158
0.45,0.06,129.31543275609343,0.6030469771833848
0.5,0.06,117.677878783042,0.6415550260704617
0.55,0.06,108.00176307694602,0.6763045944210586
0.6,0.06,99.80041382311389,0.7076677778829508
0.65,0.06,92.7838443727115,0.7359737849996881
0.7,0.06,86.69959164940116,0.7615238694067747
0.75,0.06,81.36070303156582,0.7845892924994027
0.8,0.06,76.64319395917572,0.8054122765247871
0.85,0.06,72.44183470883328,0.8242122882422043
0.9,0.06,68.67439235843874,0.8411870811171379
0.95,0.06,65.29089725250199,0.8565130464549277
1.0,0.06,62.21450536936352,0.8703538072908388
0.0,0.07,399.99999999999994,0.008494479202439686
0.05,0.07,300.2063857036847,0.10537389321552877
0.1,0.07,244.70846638785605,0.1925298129654198
0.15,0.07,209.18633859288835,0.2709964358995644
0.2,0.07,184.25608490363055,0.341690670455004
0.25,0.07,165.4627304648909,0.4054303303093589
0.3,0.07,150.50647078552413,0.46293580242038096
0.35,0.07,138.0257749837315,0.5148498651412254
0.4,0.07,123.0685678244932,0.5621467385302368
0.45,0.07,110.80286862062972,0.6048366142554937
0.5,0.07,100.8128672097567,0.6433378947331994
0.55,0.07,92.51611650689459,0.6780645318222425
0.6,0.07,85.50570698141135,0.7093903000834053
0.65,0.07,79.48501915010029,0.737652983549283
0.7,0.07,74.26053465194059,0.7631532277509142
0.75,0.07,69.68180955636569,0.7861627619813776
0.8,0.07,65.63944983370156,0.8069255153805318
0.85,0.07,62.043541100959885,0.8256621434652843
0.9,0.07,58.814419690925796,0.84257293340147
0.95,0.07,55.90445312181178,0.8578356282552636
1.0,0.07,53.261230391312694,0.8716128098994398
0.0,0.08,399.99999999999994,0.008494479202439686
0.05,0.08,289.874512511857,0.105738925636858
0.1,0.08,231.8156895216361,0.19316215274264648
0.15,0.08,195.7481188399072,0.27182275783896226
0.2,0.08,170.84514901107391,0.34266150611904184
0.25,0.08,152.27322478912282,0.40651006104657267
0.3,0.08,137.54765432090718,0.4641044857607386
0.35,0.08,121.19553470207367,0.5165502260988353
0.4,0.08,107.64876671946462,0.5639275046426826
0.45,0.08,96.91385269642225,0.6066281858843745
0.5,0.08,88.17898296972189,0.6451202713738295
0.55,0.08,80.91641817155578,0.6798241105327936
0.6,0.08,74.77139711741592,0.7111167762337438
0.65,0.08,69.50326742884015,0.73933551258028
0.7,0.08,64.92645218005332,0.7647858900149744
0.75,0.08,60.91949918347953,0.7877394055979346
0.8,0.08,57.38104664311831,0.8084424563350021
0.85,0.08,54.22543467927292,0.8271184422223667
0.9,0.08,51.403042961939796,0.8439646349532576
0.95,0.08,48.8612429699958,0.8591617343773962
1.0,0.08,46.555930379032404,0.8728728364917938
0.0,0.09,399.99999999999994,0.008494479202439686
0.05,0.09,280.2128988032575,0.1061046318910224
0.1,0.09,220.212922489525,0.1937945231661427
0.15,0.09,183.89021580512116,0.2726522063712391
0.2,0.09,159.19016005280196,0.3436380760876834
0.25,0.09,140.93091006938542,0.40760020143519127
0.3,0.09,123.44113927932418,0.46565560883529644
0.35,0.09,107.69136755822156,0.5182988557438731
0.4,0.09,95.65558636274493,0.5657094724610243
0.45,0.09,86.1176525249328,0.6084199989538035
0.5,0.09,78.34362007631313,0.6469057934963587
0.55,0.09,71.88462143215537,0.6815873749332246
0.6,0.09,66.42334522820644,0.712845182042134
0.65,0.09,61.74003528297912,0.7410201911275104
0.7,0.09,57.677064112626184,0.7664184940179894
0.75,0.09,54.11640475503381,0.7893156057973364
0.8,0.09,50.95867483274572,0.809962001916159
0.85,0.09,48.16621915459381,0.8285722911505444
0.9,0.09,45.655075658974766,0.8453550886961521
0.95,0.09,43.38849187061361,0.8604893883883153
1.0,0.09,41.339469277075224,0.8741357771700038
0.0,0.1,399.99999999999994,0.008494479202439686
0.05,0.1,271.177456900077,0.10647023735565886
0.1,0.1,209.68481778715517,0.19442888426548915
0.15,0.1,173.36805313770037,0.27348323573632893
0.2,0.1,148.9954289564306,0.3446175583864972
0.25,0.1,130.54505849029482,0.4087645580525727
0.3,0.1,111.07265781274558,0.46733979224722144
0.35,0.1,96.89855410872019,0.5200468281673898
0.4,0.1,86.06610907086946,0.5674916081303962
0.45,0.1,77.47462285283746,0.610214377477771
0.5,0.1,70.47689671155074,0.6486926390085267
0.55,0.1,64.66167463388219,0.6833519797158061
0.6,0.1,59.74552984181794,0.7145754974438769
0.65,0.1,55.53066529724009,0.7427067216962234
0.7,0.1,51.86812857717358,0.7680560539435011
0.75,0.1,48.66453640557077,0.7908968348025234
0.8,0.1,45.83076810455509,0.8114810466663522
0.85,0.1,43.30944322916082,0.83003134502921
0.9,0.1,41.04866390127509,0.8467504687983012
0.95,0.1,39.00982464088929,0.8618199051847399
1.0,0.1,37.16141999430186,0.8754030344896058
