Point,Count
"(0.75, 0.075)",6
"(0.55, 0.055)",7
"(0.45, 0.09)",4
"(0.85, 0.03)",1
"(0.65, 0.08)",6
"(0.8, 0.05)",2
"(0.85, 0.07)",4
"(0.65, 0.055)",8
"(0.95, 0.075)",5
"(0.65, 0.03)",2
"(0.7, 0.04)",3
"(0.7, 0.05)",4
"(0.55, 0.1)",3
"(0.8, 0.08)",5
"(0.95, 0.07)",5
"(0.45, 0.04)",4
"(0.4, 0.095)",4
"(0.35, 0.065)",5
"(0.7, 0.07)",5
"(0.3, 0.075)",3
"(0.95, 0.095)",5
"(0.5, 0.095)",6
"(0.5, 0.04)",5
"(0.4, 0.035)",5
"(0.6, 0.05)",5
"(0.35, 0.035)",6
"(0.4, 0.055)",3
"(0.9, 0.045)",5
"(0.4, 0.045)",5
"(0.8, 0.09)",1
"(0.65, 0.075)",4
"(0.7, 0.095)",5
"(0.9, 0.07)",2
"(0.6, 0.085)",5
"(1.0, 0.055)",3
"(0.75, 0.095)",4
"(0.85, 0.08)",4
"(0.35, 0.06)",5
"(0.9, 0.09)",3
"(0.7, 0.065)",6
"(0.7, 0.06)",3
"(0.8, 0.095)",4
"(0.95, 0.035)",5
"(0.85, 0.09)",5
"(0.5, 0.075)",3
"(0.9, 0.1)",3
"(0.45, 0.07)",5
"(0.45, 0.06)",3
"(0.55, 0.085)",5
"(0.35, 0.07)",6
"(0.35, 0.045)",4
"(0.45, 0.035)",6
"(0.6, 0.09)",7
"(0.55, 0.06)",4
"(0.35, 0.055)",4
"(1.0, 0.03)",2
"(0.65, 0.065)",3
"(0.6, 0.035)",4
"(0.85, 0.085)",4
"(0.8, 0.06)",6
"(0.8, 0.07)",4
"(0.45, 0.085)",3
"(0.75, 0.035)",4
"(0.65, 0.045)",4
"(0.5, 0.05)",8
"(1.0, 0.04)",3
"(0.4, 0.085)",2
"(0.5, 0.065)",3
"(0.55, 0.045)",6
"(0.85, 0.045)",5
"(0.6, 0.08)",2
"(0.7, 0.045)",3
"(0.95, 0.09)",5
"(0.65, 0.04)",4
"(0.6, 0.055)",2
"(0.95, 0.08)",6
"(0.75, 0.085)",4
"(0.5, 0.08)",5
"(0.3, 0.09)",3
"(0.8, 0.055)",7
"(0.85, 0.075)",6
"(0.5, 0.035)",3
"(0.8, 0.1)",3
"(0.35, 0.085)",4
"(0.3, 0.045)",3
"(0.4, 0.07)",6
"(0.6, 0.065)",5
"(0.6, 0.07)",3
"(1.0, 0.045)",3
"(0.5, 0.03)",3
"(0.95, 0.06)",4
"(0.55, 0.05)",2
"(0.75, 0.065)",4
"(0.85, 0.1)",2
"(0.7, 0.09)",5
"(0.8, 0.04)",1
"(0.85, 0.095)",3
"(0.35, 0.095)",6
"(0.4, 0.04)",4
"(0.45, 0.1)",2
"(1.0, 0.085)",2
"(0.75, 0.055)",3
"(0.55, 0.075)",4
"(0.9, 0.04)",3
"(0.9, 0.075)",3
"(0.65, 0.095)",5
"(0.95, 0.04)",3
"(0.65, 0.09)",4
"(0.45, 0.065)",4
"(0.4, 0.06)",6
"(0.7, 0.08)",2
"(0.9, 0.055)",5
"(0.95, 0.055)",5
"(1.0, 0.065)",3
"(0.9, 0.06)",5
"(0.7, 0.035)",2
"(0.95, 0.045)",3
"(0.9, 0.05)",3
"(0.55, 0.095)",3
"(0.45, 0.055)",4
"(0.3, 0.06)",3
"(0.9, 0.065)",5
"(0.8, 0.035)",7
"(0.8, 0.075)",4
"(0.5, 0.085)",6
"(0.5, 0.06)",3
"(0.75, 0.07)",3
"(0.65, 0.1)",3
"(0.45, 0.03)",4
"(0.45, 0.075)",4
"(0.9, 0.085)",4
"(0.5, 0.07)",4
"(0.55, 0.065)",5
"(0.7, 0.1)",3
"(0.35, 0.075)",1
"(0.9, 0.035)",3
"(0.75, 0.045)",3
"(0.8, 0.03)",4
"(0.95, 0.03)",4
"(0.4, 0.08)",3
"(0.4, 0.09)",5
"(0.85, 0.05)",7
"(0.95, 0.05)",4
"(0.85, 0.065)",1
"(0.6, 0.075)",6
"(0.5, 0.1)",1
"(0.75, 0.03)",3
"(0.3, 0.085)",2
"(0.55, 0.04)",3
"(0.5, 0.045)",4
"(0.9, 0.03)",2
"(0.5, 0.09)",3
"(0.75, 0.05)",4
"(0.4, 0.03)",2
"(0.75, 0.08)",4
"(0.95, 0.065)",5
"(1.0, 0.05)",3
"(0.75, 0.1)",4
"(0.55, 0.08)",4
"(0.8, 0.045)",4
"(0.6, 0.04)",4
"(0.65, 0.035)",2
"(0.4, 0.075)",3
"(0.7, 0.085)",5
"(0.4, 0.065)",5
"(0.6, 0.045)",4
"(0.35, 0.09)",3
"(0.55, 0.035)",4
"(0.9, 0.08)",5
"(0.75, 0.04)",4
"(0.95, 0.085)",3
"(0.65, 0.06)",4
"(0.5, 0.055)",4
"(0.85, 0.055)",4
"(0.45, 0.08)",3
"(0.6, 0.03)",2
"(0.75, 0.06)",2
"(0.3, 0.065)",1
"(0.65, 0.085)",5
"(0.65, 0.05)",4
"(0.3, 0.07)",1
"(0.7, 0.075)",2
"(1.0, 0.035)",5
"(0.85, 0.06)",4
"(0.9, 0.095)",2
"(0.35, 0.04)",4
"(0.6, 0.06)",3
"(0.35, 0.03)",4
"(0.45, 0.095)",3
"(0.85, 0.035)",2
"(0.7, 0.03)",2
"(0.65, 0.07)",3
"(0.7, 0.055)",2
"(0.3, 0.05)",2
"(1.0, 0.08)",3
"(0.45, 0.045)",1
"(0.55, 0.07)",2
"(0.45, 0.05)",5
"(0.55, 0.09)",4
"(1.0, 0.075)",1
"(0.85, 0.04)",3
"(0.35, 0.1)",2
"(0.3, 0.04)",3
"(0.8, 0.085)",3
"(1.0, 0.095)",2
"(0.4, 0.05)",3
"(0.3, 0.055)",2
"(0.3, 0.095)",1
"(1.0, 0.1)",2
"(0.3, 0.035)",1
"(1.0, 0.07)",1
"(0.35, 0.08)",1
"(0.6, 0.1)",1
"(1.0, 0.09)",1
"(0.3, 0.03)",1
"(0.55, 0.03)",1
"(0.75, 0.09)",1
"(0.8, 0.065)",1
"(0.95, 0.1)",1
